state,stateFips,countyFips,name,code,combinedName
AL,1,113,Russell County,H1,"Russell County,AL"
AL,1,115,St. Clair County,H1,"St. Clair County,AL"
AL,1,117,Shelby County,H1,"Shelby County,AL"
AL,1,119,Sumter County,H1,"Sumter County,AL"
AL,1,121,Talladega County,H1,"Talladega County,AL"
AL,1,123,Tallapoosa County,H1,"Tallapoosa County,AL"
AL,1,125,Tuscaloosa County,H1,"Tuscaloosa County,AL"
AL,1,127,Walker County,H1,"Walker County,AL"
AL,1,129,Washington County,H1,"Washington County,AL"
AL,1,131,Wilcox County,H1,"Wilcox County,AL"
AL,1,133,Winston County,H1,"Winston County,AL"
AK,2,13,Aleutians East Borough,H1,"Aleutians East Borough,AK"
AK,2,16,Aleutians West Census Area,H5,"Aleutians West Census Area,AK"
AK,2,20,Anchorage Municipality,H6,"Anchorage Municipality,AK"
AK,2,50,Bethel Census Area,H5,"Bethel Census Area,AK"
AK,2,60,Bristol Bay Borough,H1,"Bristol Bay Borough,AK"
AK,2,68,Denali Borough,H1,"Denali Borough,AK"
AK,2,70,Dillingham Census Area,H5,"Dillingham Census Area,AK"
AK,2,90,Fairbanks North Star Borough,H1,"Fairbanks North Star Borough,AK"
AK,2,100,Haines Borough,H1,"Haines Borough,AK"
AK,2,105,Hoonah-Angoon Census Area,H5,"Hoonah-Angoon Census Area,AK"
AK,2,110,Juneau City and Borough,H6,"Juneau City and Borough,AK"
AK,2,122,Kenai Peninsula Borough,H1,"Kenai Peninsula Borough,AK"
AK,2,130,Ketchikan Gateway Borough,H1,"Ketchikan Gateway Borough,AK"
AK,2,150,Kodiak Island Borough,H1,"Kodiak Island Borough,AK"
AK,2,164,Lake and Peninsula Borough,H1,"Lake and Peninsula Borough,AK"
AK,2,170,Matanuska-Susitna Borough,H1,"Matanuska-Susitna Borough,AK"
AK,2,180,Nome Census Area,H5,"Nome Census Area,AK"
AK,2,185,North Slope Borough,H1,"North Slope Borough,AK"
AK,2,188,Northwest Arctic Borough,H1,"Northwest Arctic Borough,AK"
AK,2,195,Petersburg Census Area,H5,"Petersburg Census Area,AK"
AK,2,198,Prince of Wales-Hyder Census Area,H5,"Prince of Wales-Hyder Census Area,AK"
AK,2,220,Sitka City and Borough,H6,"Sitka City and Borough,AK"
AK,2,230,Skagway Municipality,H1,"Skagway Municipality,AK"
AK,2,240,Southeast Fairbanks Census Area,H5,"Southeast Fairbanks Census Area,AK"
AK,2,261,Valdez-Cordova Census Area,H5,"Valdez-Cordova Census Area,AK"
AK,2,270,Wade Hampton Census Area,H5,"Wade Hampton Census Area,AK"
AK,2,275,Wrangell City and Borough,H1,"Wrangell City and Borough,AK"
AK,2,282,Yakutat City and Borough,H1,"Yakutat City and Borough,AK"
AK,2,290,Yukon-Koyukuk Census Area,H5,"Yukon-Koyukuk Census Area,AK"
AZ,4,1,Apache County,H1,"Apache County,AZ"
AZ,4,3,Cochise County,H1,"Cochise County,AZ"
AZ,4,5,Coconino County,H1,"Coconino County,AZ"
AZ,4,7,Gila County,H1,"Gila County,AZ"
AZ,4,9,Graham County,H1,"Graham County,AZ"
AZ,4,11,Greenlee County,H1,"Greenlee County,AZ"
AZ,4,12,La Paz County,H1,"La Paz County,AZ"
AZ,4,13,Maricopa County,H1,"Maricopa County,AZ"
AZ,4,15,Mohave County,H1,"Mohave County,AZ"
AZ,4,17,Navajo County,H1,"Navajo County,AZ"
AZ,4,19,Pima County,H1,"Pima County,AZ"
AZ,4,21,Pinal County,H1,"Pinal County,AZ"
AZ,4,23,Santa Cruz County,H1,"Santa Cruz County,AZ"
AZ,4,25,Yavapai County,H1,"Yavapai County,AZ"
AZ,4,27,Yuma County,H1,"Yuma County,AZ"
AR,5,1,Arkansas County,H1,"Arkansas County,AR"
AR,5,3,Ashley County,H1,"Ashley County,AR"
AR,5,5,Baxter County,H1,"Baxter County,AR"
AR,5,7,Benton County,H1,"Benton County,AR"
AR,5,9,Boone County,H1,"Boone County,AR"
AR,5,11,Bradley County,H1,"Bradley County,AR"
AR,5,13,Calhoun County,H1,"Calhoun County,AR"
AR,5,15,Carroll County,H1,"Carroll County,AR"
AR,5,17,Chicot County,H1,"Chicot County,AR"
AR,5,19,Clark County,H1,"Clark County,AR"
AR,5,21,Clay County,H1,"Clay County,AR"
AR,5,23,Cleburne County,H1,"Cleburne County,AR"
AR,5,25,Cleveland County,H1,"Cleveland County,AR"
AR,5,27,Columbia County,H1,"Columbia County,AR"
AR,5,29,Conway County,H1,"Conway County,AR"
AR,5,31,Craighead County,H1,"Craighead County,AR"
AR,5,33,Crawford County,H1,"Crawford County,AR"
AR,5,35,Crittenden County,H1,"Crittenden County,AR"
AR,5,37,Cross County,H1,"Cross County,AR"
AR,5,39,Dallas County,H1,"Dallas County,AR"
AR,5,41,Desha County,H1,"Desha County,AR"
AR,5,43,Drew County,H1,"Drew County,AR"
AR,5,45,Faulkner County,H1,"Faulkner County,AR"
AR,5,47,Franklin County,H1,"Franklin County,AR"
AR,5,49,Fulton County,H1,"Fulton County,AR"
AR,5,51,Garland County,H1,"Garland County,AR"
AR,5,53,Grant County,H1,"Grant County,AR"
AR,5,55,Greene County,H1,"Greene County,AR"
AR,5,57,Hempstead County,H1,"Hempstead County,AR"
AR,5,59,Hot Spring County,H1,"Hot Spring County,AR"
AR,5,61,Howard County,H1,"Howard County,AR"
AR,5,63,Independence County,H1,"Independence County,AR"
AR,5,65,Izard County,H1,"Izard County,AR"
AR,5,67,Jackson County,H1,"Jackson County,AR"
AR,5,69,Jefferson County,H1,"Jefferson County,AR"
AR,5,71,Johnson County,H1,"Johnson County,AR"
AR,5,73,Lafayette County,H1,"Lafayette County,AR"
AR,5,75,Lawrence County,H1,"Lawrence County,AR"
AR,5,77,Lee County,H1,"Lee County,AR"
AR,5,79,Lincoln County,H1,"Lincoln County,AR"
AR,5,81,Little River County,H1,"Little River County,AR"
AR,5,83,Logan County,H1,"Logan County,AR"
AR,5,85,Lonoke County,H1,"Lonoke County,AR"
AR,5,87,Madison County,H1,"Madison County,AR"
AR,5,89,Marion County,H1,"Marion County,AR"
AR,5,91,Miller County,H1,"Miller County,AR"
AR,5,93,Mississippi County,H1,"Mississippi County,AR"
AR,5,95,Monroe County,H1,"Monroe County,AR"
AR,5,97,Montgomery County,H1,"Montgomery County,AR"
AR,5,99,Nevada County,H1,"Nevada County,AR"
AR,5,101,Newton County,H1,"Newton County,AR"
AR,5,103,Ouachita County,H1,"Ouachita County,AR"
AR,5,105,Perry County,H1,"Perry County,AR"
AR,5,107,Phillips County,H1,"Phillips County,AR"
AR,5,109,Pike County,H1,"Pike County,AR"
AR,5,111,Poinsett County,H1,"Poinsett County,AR"
AR,5,113,Polk County,H1,"Polk County,AR"
AR,5,115,Pope County,H1,"Pope County,AR"
AR,5,117,Prairie County,H1,"Prairie County,AR"
AR,5,119,Pulaski County,H1,"Pulaski County,AR"
AR,5,121,Randolph County,H1,"Randolph County,AR"
AR,5,123,St. Francis County,H1,"St. Francis County,AR"
AR,5,125,Saline County,H1,"Saline County,AR"
AR,5,127,Scott County,H1,"Scott County,AR"
AR,5,129,Searcy County,H1,"Searcy County,AR"
AR,5,131,Sebastian County,H1,"Sebastian County,AR"
AR,5,133,Sevier County,H1,"Sevier County,AR"
AR,5,135,Sharp County,H1,"Sharp County,AR"
AR,5,137,Stone County,H1,"Stone County,AR"
AR,5,139,Union County,H1,"Union County,AR"
AR,5,141,Van Buren County,H1,"Van Buren County,AR"
AR,5,143,Washington County,H1,"Washington County,AR"
AR,5,145,White County,H1,"White County,AR"
AR,5,147,Woodruff County,H1,"Woodruff County,AR"
AR,5,149,Yell County,H1,"Yell County,AR"
CA,6,1,Alameda County,H1,"Alameda County,CA"
CA,6,3,Alpine County,H1,"Alpine County,CA"
CA,6,5,Amador County,H1,"Amador County,CA"
CA,6,7,Butte County,H1,"Butte County,CA"
CA,6,9,Calaveras County,H1,"Calaveras County,CA"
CA,6,11,Colusa County,H1,"Colusa County,CA"
CA,6,13,Contra Costa County,H1,"Contra Costa County,CA"
CA,6,15,Del Norte County,H1,"Del Norte County,CA"
CA,6,17,El Dorado County,H1,"El Dorado County,CA"
CA,6,19,Fresno County,H1,"Fresno County,CA"
CA,6,21,Glenn County,H1,"Glenn County,CA"
CA,6,23,Humboldt County,H1,"Humboldt County,CA"
CA,6,25,Imperial County,H1,"Imperial County,CA"
CA,6,27,Inyo County,H1,"Inyo County,CA"
CA,6,29,Kern County,H1,"Kern County,CA"
CA,6,31,Kings County,H1,"Kings County,CA"
CA,6,33,Lake County,H1,"Lake County,CA"
CA,6,35,Lassen County,H1,"Lassen County,CA"
CA,6,37,Los Angeles County,H1,"Los Angeles County,CA"
CA,6,39,Madera County,H1,"Madera County,CA"
CA,6,41,Marin County,H1,"Marin County,CA"
CA,6,43,Mariposa County,H1,"Mariposa County,CA"
CA,6,45,Mendocino County,H1,"Mendocino County,CA"
CA,6,47,Merced County,H1,"Merced County,CA"
CA,6,49,Modoc County,H1,"Modoc County,CA"
CA,6,51,Mono County,H1,"Mono County,CA"
CA,6,53,Monterey County,H1,"Monterey County,CA"
CA,6,55,Napa County,H1,"Napa County,CA"
CA,6,57,Nevada County,H1,"Nevada County,CA"
CA,6,59,Orange County,H1,"Orange County,CA"
CA,6,61,Placer County,H1,"Placer County,CA"
CA,6,63,Plumas County,H1,"Plumas County,CA"
CA,6,65,Riverside County,H1,"Riverside County,CA"
CA,6,67,Sacramento County,H1,"Sacramento County,CA"
CA,6,69,San Benito County,H1,"San Benito County,CA"
CA,6,71,San Bernardino County,H1,"San Bernardino County,CA"
CA,6,73,San Diego County,H1,"San Diego County,CA"
CA,6,75,San Francisco County,H6,"San Francisco County,CA"
CA,6,77,San Joaquin County,H1,"San Joaquin County,CA"
CA,6,79,San Luis Obispo County,H1,"San Luis Obispo County,CA"
CA,6,81,San Mateo County,H1,"San Mateo County,CA"
CA,6,83,Santa Barbara County,H1,"Santa Barbara County,CA"
CA,6,85,Santa Clara County,H1,"Santa Clara County,CA"
CA,6,87,Santa Cruz County,H1,"Santa Cruz County,CA"
CA,6,89,Shasta County,H1,"Shasta County,CA"
CA,6,91,Sierra County,H1,"Sierra County,CA"
CA,6,93,Siskiyou County,H1,"Siskiyou County,CA"
CA,6,95,Solano County,H1,"Solano County,CA"
CA,6,97,Sonoma County,H1,"Sonoma County,CA"
CA,6,99,Stanislaus County,H1,"Stanislaus County,CA"
CA,6,101,Sutter County,H1,"Sutter County,CA"
CA,6,103,Tehama County,H1,"Tehama County,CA"
CA,6,105,Trinity County,H1,"Trinity County,CA"
CA,6,107,Tulare County,H1,"Tulare County,CA"
CA,6,109,Tuolumne County,H1,"Tuolumne County,CA"
CA,6,111,Ventura County,H1,"Ventura County,CA"
CA,6,113,Yolo County,H1,"Yolo County,CA"
CA,6,115,Yuba County,H1,"Yuba County,CA"
CO,8,1,Adams County,H1,"Adams County,CO"
CO,8,3,Alamosa County,H1,"Alamosa County,CO"
CO,8,5,Arapahoe County,H1,"Arapahoe County,CO"
CO,8,7,Archuleta County,H1,"Archuleta County,CO"
CO,8,9,Baca County,H1,"Baca County,CO"
CO,8,11,Bent County,H1,"Bent County,CO"
CO,8,13,Boulder County,H1,"Boulder County,CO"
CO,8,14,Broomfield County,H6,"Broomfield County,CO"
CO,8,15,Chaffee County,H1,"Chaffee County,CO"
CO,8,17,Cheyenne County,H1,"Cheyenne County,CO"
CO,8,19,Clear Creek County,H1,"Clear Creek County,CO"
CO,8,21,Conejos County,H1,"Conejos County,CO"
CO,8,23,Costilla County,H1,"Costilla County,CO"
CO,8,25,Crowley County,H1,"Crowley County,CO"
CO,8,27,Custer County,H1,"Custer County,CO"
CO,8,29,Delta County,H1,"Delta County,CO"
CO,8,31,Denver County,H6,"Denver County,CO"
CO,8,33,Dolores County,H1,"Dolores County,CO"
CO,8,35,Douglas County,H1,"Douglas County,CO"
CO,8,37,Eagle County,H1,"Eagle County,CO"
CO,8,39,Elbert County,H1,"Elbert County,CO"
CO,8,41,El Paso County,H1,"El Paso County,CO"
CO,8,43,Fremont County,H1,"Fremont County,CO"
CO,8,45,Garfield County,H1,"Garfield County,CO"
CO,8,47,Gilpin County,H1,"Gilpin County,CO"
CO,8,49,Grand County,H1,"Grand County,CO"
CO,8,51,Gunnison County,H1,"Gunnison County,CO"
CO,8,53,Hinsdale County,H1,"Hinsdale County,CO"
CO,8,55,Huerfano County,H1,"Huerfano County,CO"
CO,8,57,Jackson County,H1,"Jackson County,CO"
CO,8,59,Jefferson County,H1,"Jefferson County,CO"
CO,8,61,Kiowa County,H1,"Kiowa County,CO"
CO,8,63,Kit Carson County,H1,"Kit Carson County,CO"
CO,8,65,Lake County,H1,"Lake County,CO"
CO,8,67,La Plata County,H1,"La Plata County,CO"
CO,8,69,Larimer County,H1,"Larimer County,CO"
CO,8,71,Las Animas County,H1,"Las Animas County,CO"
CO,8,73,Lincoln County,H1,"Lincoln County,CO"
CO,8,75,Logan County,H1,"Logan County,CO"
CO,8,77,Mesa County,H1,"Mesa County,CO"
CO,8,79,Mineral County,H1,"Mineral County,CO"
CO,8,81,Moffat County,H1,"Moffat County,CO"
CO,8,83,Montezuma County,H1,"Montezuma County,CO"
CO,8,85,Montrose County,H1,"Montrose County,CO"
CO,8,87,Morgan County,H1,"Morgan County,CO"
CO,8,89,Otero County,H1,"Otero County,CO"
CO,8,91,Ouray County,H1,"Ouray County,CO"
CO,8,93,Park County,H1,"Park County,CO"
CO,8,95,Phillips County,H1,"Phillips County,CO"
CO,8,97,Pitkin County,H1,"Pitkin County,CO"
CO,8,99,Prowers County,H1,"Prowers County,CO"
CO,8,101,Pueblo County,H1,"Pueblo County,CO"
CO,8,103,Rio Blanco County,H1,"Rio Blanco County,CO"
CO,8,105,Rio Grande County,H1,"Rio Grande County,CO"
CO,8,107,Routt County,H1,"Routt County,CO"
CO,8,109,Saguache County,H1,"Saguache County,CO"
CO,8,111,San Juan County,H1,"San Juan County,CO"
CO,8,113,San Miguel County,H1,"San Miguel County,CO"
CO,8,115,Sedgwick County,H1,"Sedgwick County,CO"
CO,8,117,Summit County,H1,"Summit County,CO"
CO,8,119,Teller County,H1,"Teller County,CO"
CO,8,121,Washington County,H1,"Washington County,CO"
CO,8,123,Weld County,H1,"Weld County,CO"
CO,8,125,Yuma County,H1,"Yuma County,CO"
CT,9,1,Fairfield County,H4,"Fairfield County,CT"
CT,9,3,Hartford County,H4,"Hartford County,CT"
CT,9,5,Litchfield County,H4,"Litchfield County,CT"
CT,9,7,Middlesex County,H4,"Middlesex County,CT"
CT,9,9,New Haven County,H4,"New Haven County,CT"
CT,9,11,New London County,H4,"New London County,CT"
CT,9,13,Tolland County,H4,"Tolland County,CT"
CT,9,15,Windham County,H4,"Windham County,CT"
DE,10,1,Kent County,H1,"Kent County,DE"
DE,10,3,New Castle County,H1,"New Castle County,DE"
DE,10,5,Sussex County,H1,"Sussex County,DE"
DC,11,1,District of Columbia,H6,"District of Columbia,DC"
FL,12,1,Alachua County,H1,"Alachua County,FL"
FL,12,3,Baker County,H1,"Baker County,FL"
FL,12,5,Bay County,H1,"Bay County,FL"
FL,12,7,Bradford County,H1,"Bradford County,FL"
FL,12,9,Brevard County,H1,"Brevard County,FL"
FL,12,11,Broward County,H1,"Broward County,FL"
FL,12,13,Calhoun County,H1,"Calhoun County,FL"
FL,12,15,Charlotte County,H1,"Charlotte County,FL"
FL,12,17,Citrus County,H1,"Citrus County,FL"
FL,12,19,Clay County,H1,"Clay County,FL"
FL,12,21,Collier County,H1,"Collier County,FL"
FL,12,23,Columbia County,H1,"Columbia County,FL"
FL,12,27,DeSoto County,H1,"DeSoto County,FL"
FL,12,29,Dixie County,H1,"Dixie County,FL"
FL,12,31,Duval County,H6,"Duval County,FL"
FL,12,33,Escambia County,H1,"Escambia County,FL"
FL,12,35,Flagler County,H1,"Flagler County,FL"
FL,12,37,Franklin County,H1,"Franklin County,FL"
FL,12,39,Gadsden County,H1,"Gadsden County,FL"
FL,12,41,Gilchrist County,H1,"Gilchrist County,FL"
FL,12,43,Glades County,H1,"Glades County,FL"
FL,12,45,Gulf County,H1,"Gulf County,FL"
FL,12,47,Hamilton County,H1,"Hamilton County,FL"
FL,12,49,Hardee County,H1,"Hardee County,FL"
FL,12,51,Hendry County,H1,"Hendry County,FL"
FL,12,53,Hernando County,H1,"Hernando County,FL"
FL,12,55,Highlands County,H1,"Highlands County,FL"
FL,12,57,Hillsborough County,H1,"Hillsborough County,FL"
FL,12,59,Holmes County,H1,"Holmes County,FL"
FL,12,61,Indian River County,H1,"Indian River County,FL"
FL,12,63,Jackson County,H1,"Jackson County,FL"
FL,12,65,Jefferson County,H1,"Jefferson County,FL"
FL,12,67,Lafayette County,H1,"Lafayette County,FL"
FL,12,69,Lake County,H1,"Lake County,FL"
FL,12,71,Lee County,H1,"Lee County,FL"
FL,12,73,Leon County,H1,"Leon County,FL"
FL,12,75,Levy County,H1,"Levy County,FL"
FL,12,77,Liberty County,H1,"Liberty County,FL"
FL,12,79,Madison County,H1,"Madison County,FL"
FL,12,81,Manatee County,H1,"Manatee County,FL"
FL,12,83,Marion County,H1,"Marion County,FL"
FL,12,85,Martin County,H1,"Martin County,FL"
FL,12,86,Miami-Dade County,H1,"Miami-Dade County,FL"
FL,12,87,Monroe County,H1,"Monroe County,FL"
FL,12,89,Nassau County,H1,"Nassau County,FL"
FL,12,91,Okaloosa County,H1,"Okaloosa County,FL"
FL,12,93,Okeechobee County,H1,"Okeechobee County,FL"
FL,12,95,Orange County,H1,"Orange County,FL"
FL,12,97,Osceola County,H1,"Osceola County,FL"
FL,12,99,Palm Beach County,H1,"Palm Beach County,FL"
FL,12,101,Pasco County,H1,"Pasco County,FL"
FL,12,103,Pinellas County,H1,"Pinellas County,FL"
FL,12,105,Polk County,H1,"Polk County,FL"
FL,12,107,Putnam County,H1,"Putnam County,FL"
FL,12,109,St. Johns County,H1,"St. Johns County,FL"
FL,12,111,St. Lucie County,H1,"St. Lucie County,FL"
FL,12,113,Santa Rosa County,H1,"Santa Rosa County,FL"
FL,12,115,Sarasota County,H1,"Sarasota County,FL"
FL,12,117,Seminole County,H1,"Seminole County,FL"
FL,12,119,Sumter County,H1,"Sumter County,FL"
FL,12,121,Suwannee County,H1,"Suwannee County,FL"
FL,12,123,Taylor County,H1,"Taylor County,FL"
FL,12,125,Union County,H1,"Union County,FL"
FL,12,127,Volusia County,H1,"Volusia County,FL"
FL,12,129,Wakulla County,H1,"Wakulla County,FL"
FL,12,131,Walton County,H1,"Walton County,FL"
FL,12,133,Washington County,H1,"Washington County,FL"
GA,13,1,Appling County,H1,"Appling County,GA"
GA,13,3,Atkinson County,H1,"Atkinson County,GA"
GA,13,5,Bacon County,H1,"Bacon County,GA"
GA,13,7,Baker County,H1,"Baker County,GA"
GA,13,9,Baldwin County,H1,"Baldwin County,GA"
GA,13,11,Banks County,H1,"Banks County,GA"
GA,13,13,Barrow County,H1,"Barrow County,GA"
GA,13,15,Bartow County,H1,"Bartow County,GA"
GA,13,17,Ben Hill County,H1,"Ben Hill County,GA"
GA,13,19,Berrien County,H1,"Berrien County,GA"
GA,13,21,Bibb County,H1,"Bibb County,GA"
GA,13,23,Bleckley County,H1,"Bleckley County,GA"
GA,13,25,Brantley County,H1,"Brantley County,GA"
GA,13,27,Brooks County,H1,"Brooks County,GA"
GA,13,29,Bryan County,H1,"Bryan County,GA"
GA,13,31,Bulloch County,H1,"Bulloch County,GA"
GA,13,33,Burke County,H1,"Burke County,GA"
GA,13,35,Butts County,H1,"Butts County,GA"
GA,13,37,Calhoun County,H1,"Calhoun County,GA"
GA,13,39,Camden County,H1,"Camden County,GA"
GA,13,43,Candler County,H1,"Candler County,GA"
GA,13,45,Carroll County,H1,"Carroll County,GA"
GA,13,47,Catoosa County,H1,"Catoosa County,GA"
GA,13,49,Charlton County,H1,"Charlton County,GA"
GA,13,51,Chatham County,H1,"Chatham County,GA"
GA,13,53,Chattahoochee County,H1,"Chattahoochee County,GA"
GA,13,55,Chattooga County,H1,"Chattooga County,GA"
GA,13,57,Cherokee County,H1,"Cherokee County,GA"
GA,13,59,Clarke County,H6,"Clarke County,GA"
GA,13,61,Clay County,H1,"Clay County,GA"
GA,13,63,Clayton County,H1,"Clayton County,GA"
GA,13,65,Clinch County,H1,"Clinch County,GA"
GA,13,67,Cobb County,H1,"Cobb County,GA"
GA,13,69,Coffee County,H1,"Coffee County,GA"
GA,13,71,Colquitt County,H1,"Colquitt County,GA"
GA,13,73,Columbia County,H1,"Columbia County,GA"
GA,13,75,Cook County,H1,"Cook County,GA"
GA,13,77,Coweta County,H1,"Coweta County,GA"
GA,13,79,Crawford County,H1,"Crawford County,GA"
GA,13,81,Crisp County,H1,"Crisp County,GA"
GA,13,83,Dade County,H1,"Dade County,GA"
GA,13,85,Dawson County,H1,"Dawson County,GA"
GA,13,87,Decatur County,H1,"Decatur County,GA"
GA,13,89,DeKalb County,H1,"DeKalb County,GA"
GA,13,91,Dodge County,H1,"Dodge County,GA"
GA,13,93,Dooly County,H1,"Dooly County,GA"
GA,13,95,Dougherty County,H1,"Dougherty County,GA"
GA,13,97,Douglas County,H1,"Douglas County,GA"
GA,13,99,Early County,H1,"Early County,GA"
GA,13,101,Echols County,H1,"Echols County,GA"
GA,13,103,Effingham County,H1,"Effingham County,GA"
GA,13,105,Elbert County,H1,"Elbert County,GA"
GA,13,107,Emanuel County,H1,"Emanuel County,GA"
GA,13,109,Evans County,H1,"Evans County,GA"
GA,13,111,Fannin County,H1,"Fannin County,GA"
GA,13,113,Fayette County,H1,"Fayette County,GA"
GA,13,115,Floyd County,H1,"Floyd County,GA"
GA,13,117,Forsyth County,H1,"Forsyth County,GA"
GA,13,119,Franklin County,H1,"Franklin County,GA"
GA,13,121,Fulton County,H1,"Fulton County,GA"
GA,13,123,Gilmer County,H1,"Gilmer County,GA"
GA,13,125,Glascock County,H1,"Glascock County,GA"
GA,13,127,Glynn County,H1,"Glynn County,GA"
GA,13,129,Gordon County,H1,"Gordon County,GA"
GA,13,131,Grady County,H1,"Grady County,GA"
GA,13,133,Greene County,H1,"Greene County,GA"
GA,13,135,Gwinnett County,H1,"Gwinnett County,GA"
GA,13,137,Habersham County,H1,"Habersham County,GA"
GA,13,139,Hall County,H1,"Hall County,GA"
GA,13,141,Hancock County,H1,"Hancock County,GA"
GA,13,143,Haralson County,H1,"Haralson County,GA"
GA,13,145,Harris County,H1,"Harris County,GA"
GA,13,147,Hart County,H1,"Hart County,GA"
GA,13,149,Heard County,H1,"Heard County,GA"
GA,13,151,Henry County,H1,"Henry County,GA"
GA,13,153,Houston County,H1,"Houston County,GA"
GA,13,155,Irwin County,H1,"Irwin County,GA"
GA,13,157,Jackson County,H1,"Jackson County,GA"
GA,13,159,Jasper County,H1,"Jasper County,GA"
GA,13,161,Jeff Davis County,H1,"Jeff Davis County,GA"
GA,13,163,Jefferson County,H1,"Jefferson County,GA"
GA,13,165,Jenkins County,H1,"Jenkins County,GA"
GA,13,167,Johnson County,H1,"Johnson County,GA"
GA,13,169,Jones County,H1,"Jones County,GA"
GA,13,171,Lamar County,H1,"Lamar County,GA"
GA,13,173,Lanier County,H1,"Lanier County,GA"
GA,13,175,Laurens County,H1,"Laurens County,GA"
GA,13,177,Lee County,H1,"Lee County,GA"
GA,13,179,Liberty County,H1,"Liberty County,GA"
GA,13,181,Lincoln County,H1,"Lincoln County,GA"
GA,13,183,Long County,H1,"Long County,GA"
GA,13,185,Lowndes County,H1,"Lowndes County,GA"
GA,13,187,Lumpkin County,H1,"Lumpkin County,GA"
GA,13,189,McDuffie County,H1,"McDuffie County,GA"
GA,13,191,McIntosh County,H1,"McIntosh County,GA"
GA,13,193,Macon County,H1,"Macon County,GA"
GA,13,195,Madison County,H1,"Madison County,GA"
GA,13,197,Marion County,H1,"Marion County,GA"
GA,13,199,Meriwether County,H1,"Meriwether County,GA"
GA,13,201,Miller County,H1,"Miller County,GA"
GA,13,205,Mitchell County,H1,"Mitchell County,GA"
GA,13,207,Monroe County,H1,"Monroe County,GA"
GA,13,209,Montgomery County,H1,"Montgomery County,GA"
GA,13,211,Morgan County,H1,"Morgan County,GA"
GA,13,213,Murray County,H1,"Murray County,GA"
GA,13,215,Muscogee County,H6,"Muscogee County,GA"
GA,13,217,Newton County,H1,"Newton County,GA"
GA,13,219,Oconee County,H1,"Oconee County,GA"
GA,13,221,Oglethorpe County,H1,"Oglethorpe County,GA"
GA,13,223,Paulding County,H1,"Paulding County,GA"
GA,13,225,Peach County,H1,"Peach County,GA"
GA,13,227,Pickens County,H1,"Pickens County,GA"
GA,13,229,Pierce County,H1,"Pierce County,GA"
GA,13,231,Pike County,H1,"Pike County,GA"
GA,13,233,Polk County,H1,"Polk County,GA"
