name,total,denisty,dem,gop,fips
"Brazoria County, Texas","313,166",230.66,"43,075","72,653","48,039"
"Brazos County, Texas","194,851",332.83,"23,041","38,662","48,041"
"Breathitt County, Kentucky","13,878",28.18,"1,537","3,991","21,025"
"Breckinridge County, Kentucky","20,059",35.37,"1,960","6,484","21,027"
"Bremer County, Iowa","24,276",55.75,"5,349","7,199","19,017"
"Brevard County, Florida","543,376",535,"119,525","181,620","12,009"
"Brewster County, Texas","9,232",1.49,"1,869","2,073","48,043"
"Briscoe County, Texas","1,637",1.82,91,625,"48,045"
"Bristol city, Virginia","17,835","1,370.55","1,832","4,884","51,520"
"Bristol County, Rhode Island","49,875","2,064.01","14,532","8,910","44,001"
"Bristol County, Massachusetts","548,285",991.3,"127,619","104,775","25,005"
"Broadwater County, Montana","5,612",4.71,566,"2,329","30,007"
"Bronx County, New York","1,385,108","32,903.32","318,403","34,424","36,005"
"Brooke County, West Virginia","24,069",269.82,"2,549","6,574","54,009"
"Brookings County, South Dakota","31,965",40.35,"4,879","6,748","46,011"
"Brooks County, Texas","7,223",7.66,"1,937",613,"48,047"
"Brooks County, Georgia","16,243",32.94,"2,504","3,679","13,027"
"Broome County, New York","200,600",284.23,"35,212","38,077","36,007"
"Broomfield County, Colorado","55,889","1,691.87","19,530","14,272","8,014"
"Broward County, Florida","1,748,066","1,444.94","546,956","258,521","12,011"
"Brown County, Wisconsin","248,007",468.2,"53,358","67,192","55,009"
"Brown County, Minnesota","25,893",42.37,"3,763","8,708","27,015"
"Brown County, Nebraska","3,145",2.58,153,"1,380","31,017"
"Brown County, Kansas","9,984",17.49,850,"2,861","20,013"
"Brown County, Indiana","15,242",48.86,"2,518","5,015","18,013"
"Brown County, Texas","38,106",40.35,"1,621","12,010","48,049"
"Brown County, Ohio","44,846",91.52,"4,270","14,257","39,015"
"Brown County, South Dakota","36,531",21.33,"5,452","9,613","46,013"
"Brown County, Illinois","6,937",22.7,475,"1,776","17,009"
"Brule County, South Dakota","5,255",6.43,571,"1,565","46,015"
"Brunswick County, North Carolina","107,431",126.84,"23,117","42,440","37,019"
"Brunswick County, Virginia","17,434",30.79,"4,473","3,045","51,025"
"Bryan County, Georgia","30,233",69.35,"4,010","10,513","13,029"
"Bryan County, Oklahoma","42,416",46.9,"2,793","10,449","40,013"
"Buchanan County, Missouri","89,201",218.62,"12,010","21,315","29,021"
"Buchanan County, Iowa","20,958",36.7,"3,966","5,504","19,019"
"Buchanan County, Virginia","24,098",47.93,"1,721","7,292","51,027"
"Buckingham County, Virginia","17,146",29.58,"3,128","3,969","51,029"
"Bucks County, Pennsylvania","625,249","1,034.65","165,861","163,873","42,017"
"Buena Vista city, Virginia","6,650",992,693,"1,432","51,530"
"Buena Vista County, Iowa","20,260",35.24,"2,851","4,895","19,021"
"Buffalo County, Wisconsin","13,587",20.23,"2,531","4,049","55,011"
"Buffalo County, Nebraska","46,102",47.62,"4,690","14,424","31,019"
"Buffalo County, South Dakota","1,912",4.06,296,171,"46,017"
"Bullitt County, Kentucky","74,319",250.21,"8,255","26,210","21,029"
"Bulloch County, Georgia","70,217",104.36,"8,812","14,476","13,031"
"Bullock County, Alabama","10,914",17.52,"3,530","1,139","1,011"
"Buncombe County, North Carolina","238,318",362.92,"74,937","55,339","37,021"
"Bureau County, Illinois","34,978",40.25,"6,010","9,264","17,011"
"Burke County, North Carolina","90,912",179.28,"10,930","25,741","37,023"
"Burke County, North Dakota","1,968",1.78,118,879,"38,013"
"Burke County, Georgia","23,316",28.19,"4,730","4,491","13,033"
"Burleigh County, North Dakota","81,308",49.8,"10,865","32,499","38,015"
"Burleson County, Texas","17,187",26.08,"1,491","5,316","48,051"
"Burlington County, New Jersey","448,734",561.92,"108,361","79,539","34,005"
"Burnet County, Texas","42,750",43,"3,785","14,595","48,053"
"Burnett County, Wisconsin","15,457",18.81,"2,948","5,412","55,013"
"Burt County, Nebraska","6,858",13.95,928,"2,360","31,021"
"Butler County, Kentucky","12,690",29.78,947,"4,428","21,031"
"Butler County, Iowa","14,867",25.63,"2,163","4,918","19,023"
"Butler County, Ohio","368,130",788.19,"56,700","104,441","39,017"
"Butler County, Alabama","20,947",26.96,"3,716","4,891","1,013"
"Butler County, Missouri","42,794",61.6,"3,036","13,647","29,023"
"Butler County, Nebraska","8,395",14.35,690,"3,068","31,023"
"Butler County, Kansas","65,880",46.07,"6,489","18,781","20,015"
"Butler County, Pennsylvania","183,862",233.15,"26,834","61,388","42,019"
"Butte County, South Dakota","10,110",4.49,693,"3,355","46,019"
"Butte County, California","220,000",134.44,"38,676","42,193","6,007"
"Butte County, Idaho","2,891",1.3,160,914,"16,023"
"Butts County, Georgia","23,655",128.29,"2,566","6,717","13,035"
"Cabarrus County, North Carolina","178,011",492.08,"35,048","53,224","37,025"
"Cabell County, West Virginia","96,319",342.75,"11,306","19,648","54,011"
"Cache County, Utah","112,656",96.72,"6,705","16,643","49,005"
"Caddo County, Oklahoma","29,600",23.16,"2,418","6,473","40,015"
"Caddo Parish, Louisiana","254,969",290.22,"53,448","48,977","22,017"
"Calaveras County, California","45,578",44.68,"7,738","13,072","6,009"
"Calcasieu Parish, Louisiana","192,768",181.23,"26,293","54,182","22,019"
"Caldwell County, North Carolina","83,029",176.07,"8,403","26,499","37,027"
"Caldwell County, Missouri","9,424",22.1,837,"3,231","29,025"
"Caldwell County, Kentucky","12,984",37.66,"1,260","4,507","21,033"
"Caldwell County, Texas","38,066",69.81,"4,663","6,516","48,055"
"Caldwell Parish, Louisiana","10,132",19.14,788,"3,822","22,021"
"Caledonia County, Vermont","31,227",48.13,"6,445","5,533","50,005"
"Calhoun County, South Carolina","15,175",39.81,"3,569","3,785","45,017"
"Calhoun County, Alabama","118,572",195.71,"13,197","32,803","1,015"
"Calhoun County, Mississippi","14,962",25.51,"1,884","4,360","28,013"
"Calhoun County, Arkansas","5,368",8.54,636,"1,554","5,013"
"Calhoun County, Illinois","5,089",20.05,739,"1,719","17,013"
"Calhoun County, Iowa","9,670",16.97,"1,396","3,466","19,025"
"Calhoun County, Texas","21,381",42.18,"2,118","4,638","48,057"
"Calhoun County, Georgia","6,694",23.88,"1,178",829,"13,037"
"Calhoun County, Michigan","136,146",192.78,"24,154","31,489","26,025"
"Calhoun County, Florida","14,625",25.78,"1,236","4,647","12,013"
"Calhoun County, West Virginia","7,627",27.31,456,"2,023","54,013"
"Callahan County, Texas","13,544",15.06,568,"4,858","48,059"
"Callaway County, Missouri","44,332",53.12,"4,988","13,052","29,027"
"Calloway County, Kentucky","37,191",96.59,"4,749","10,367","21,035"
"Calumet County, Wisconsin","48,971",153.88,"9,634","15,345","55,015"
"Calvert County, Maryland","88,737",416.31,"16,669","24,680","24,009"
"Camas County, Idaho","1,117",1.04,110,410,"16,025"
"Cambria County, Pennsylvania","143,679",208.73,"17,798","40,510","42,021"
"Camden County, Georgia","50,513",82.4,"5,914","12,287","13,039"
"Camden County, North Carolina","9,980",41.49,"1,266","3,527","37,029"
"Camden County, Missouri","44,002",67.08,"4,706","16,721","29,029"
"Camden County, New Jersey","513,657","2,321.48","142,375","71,020","34,007"
"Cameron County, Pennsylvania","5,085",12.83,469,"1,495","42,023"
"Cameron County, Texas","406,220",455.95,"59,319","29,432","48,061"
"Cameron Parish, Louisiana","6,839",5.32,323,"3,256","22,023"
"Camp County, Texas","12,401",63.33,"1,260","3,201","48,063"
"Campbell County, Kentucky","90,336",597.03,"14,658","25,050","21,037"
"Campbell County, Tennessee","40,716",84.79,"2,248","9,860","47,013"
"Campbell County, Virginia","54,842",108.84,"6,597","19,442","51,031"
"Campbell County, South Dakota","1,466",2,105,704,"46,021"
"Campbell County, Wyoming","46,133",9.61,"1,324","15,778","56,005"
"Canadian County, Oklahoma","115,541",128.86,"11,666","39,969","40,017"
"Candler County, Georgia","10,998",45.25,"1,023","2,661","13,043"
"Cannon County, Tennessee","13,801",51.95,"1,126","4,006","47,015"
"Canyon County, Idaho","188,923",321.64,"16,683","46,755","16,027"
"Cape Girardeau County, Missouri","75,674",130.8,"8,468","26,939","29,031"
"Cape May County, New Jersey","97,265",386.86,"18,626","28,237","34,009"
"Carbon County, Pennsylvania","65,249",171.05,"8,917","18,714","42,025"
"Carbon County, Montana","10,078",4.92,"1,824","3,729","30,009"
"Carbon County, Wyoming","15,885",2.01,"1,279","4,409","56,007"
"Carbon County, Utah","21,403",14.48,"1,696","5,182","49,007"
"Caribou County, Idaho","6,963",3.95,271,"2,275","16,029"
"Carlisle County, Kentucky","5,104",26.94,432,"2,094","21,039"
"Carlton County, Minnesota","35,386",41.08,"8,460","8,160","27,017"
"Caroline County, Virginia","28,545",54.11,"6,425","7,143","51,033"
"Caroline County, Maryland","33,066",103.52,"3,747","8,999","24,011"
"Carroll County, New Hampshire","47,818",51.36,"12,987","14,635","33,003"
"Carroll County, Ohio","28,836",73.07,"3,124","9,067","39,019"
"Carroll County, Indiana","20,155",54.15,"1,891","6,273","18,015"
"Carroll County, Illinois","15,387",34.59,"2,437","4,428","17,015"
"Carroll County, Mississippi","10,597",16.87,"1,648","3,774","28,015"
"Carroll County, Missouri","9,295",13.38,745,"3,480","29,033"
"Carroll County, Iowa","20,816",36.56,"3,305","6,627","19,027"
"Carroll County, Kentucky","10,811",84.09,"1,106","2,588","21,041"
"Carroll County, Tennessee","28,522",47.6,"2,323","7,731","47,017"
"Carroll County, Arkansas","27,446",43.56,"3,334","6,773","5,015"
"Carroll County, Maryland","167,134",373.4,"24,314","55,593","24,013"
"Carroll County, Georgia","110,527",221.46,"12,422","29,983","13,045"
"Carroll County, Virginia","30,042",63.29,"2,557","10,653","51,035"
"Carson City, Nevada","55,274",382.09,"9,610","13,125","32,510"
"Carson County, Texas","6,182",6.72,249,"2,617","48,065"
"Carter County, Missouri","6,265",12.35,436,"2,323","29,035"
"Carter County, Montana","1,160",0.35,70,677,"30,011"
"Carter County, Kentucky","27,720",67.69,"2,276","7,587","21,043"
"Carter County, Tennessee","57,424",168.3,"3,453","16,897","47,019"
"Carter County, Oklahoma","47,557",57.84,"4,002","13,751","40,019"
"Carteret County, North Carolina","66,469",131.3,"9,806","26,228","37,031"
"Carver County, Minnesota","91,042",256.94,"21,508","29,057","27,019"
"Cascade County, Montana","81,327",30.14,"12,053","19,343","30,013"
