name	total	density	dem	gop
"Anderson County, Texas"	"58,458"	55.01	0.198851	0.779594
"Anderson County, South Carolina"	"187,126"	261.56	0.26203	0.698777
"Anderson County, Kansas"	"8,102"	13.98	0.20293	0.728105
"Anderson County, Tennessee"	"75,129"	222.83	0.303132	0.645998
"Andrew County, Missouri"	"17,291"	39.96	0.223742	0.729212
"Andrews County, Texas"	"14,786"	9.85	0.169712	0.796793
"Androscoggin County, Maine"	"107,702"	230.17	0.415161	0.509378
"Angelina County, Texas"	"86,771"	108.77	0.25236	0.725343
"Anne Arundel County, Maryland"	"537,656"	"1,295.86"	0.477791	0.471349
"Anoka County, Minnesota"	"330,844"	782.12	0.410133	0.507057
"Anson County, North Carolina"	"26,948"	50.71	0.556571	0.431018
"Antelope County, Nebraska"	"6,685"	7.8	0.118323	0.843789
"Antrim County, Michigan"	"23,580"	49.57	0.327734	0.624005
"Apache County, Arizona"	"71,518"	6.39	0.653626	0.284849
"Appanoose County, Iowa"	"12,887"	25.91	0.297408	0.661253
"Appling County, Georgia"	"18,236"	35.96	0.204769	0.784235
"Appomattox County, Virginia"	"14,973"	44.9	0.254337	0.718381
"Aransas County, Texas"	"23,158"	91.87	0.234833	0.738512
"Arapahoe County, Colorado"	"572,003"	716.71	0.526756	0.389259
"Archer County, Texas"	"9,054"	10.03	0.092293	0.886625
"Archuleta County, Colorado"	"12,084"	8.95	0.341427	0.580796
"Arenac County, Michigan"	"15,899"	43.78	0.300121	0.630817
"Arkansas County, Arkansas"	"19,019"	19.24	0.314415	0.620237
"Arlington County, Virginia"	"207,627"	"7,993.50"	0.769867	0.168882
"Armstrong County, Pennsylvania"	"68,941"	105.54	0.224956	0.744794
"Armstrong County, Texas"	"1,901"	2.09	0.06883	0.908555
"Aroostook County, Maine"	"71,870"	10.77	0.382604	0.555416
"Arthur County, Nebraska"	460	0.64	0.060837	0.901141
"Ascension Parish, Louisiana"	"107,215"	369.73	0.301319	0.66105
"Ashe County, North Carolina"	"27,281"	64.02	0.264134	0.710714
"Ashland County, Wisconsin"	"16,157"	15.46	0.521827	0.432501
"Ashland County, Ohio"	"53,139"	125.64	0.235067	0.713176
"Ashley County, Arkansas"	"21,853"	23.62	0.299988	0.665006
"Ashtabula County, Ohio"	"101,497"	144.6	0.381597	0.571604
"Asotin County, Washington"	"21,623"	33.99	0.321974	0.589839
"Assumption Parish, Louisiana"	"23,421"	69.16	0.36051	0.615737
"Atascosa County, Texas"	"44,911"	36.83	0.340684	0.631974
"Atchison County, Kansas"	"16,924"	39.25	0.304395	0.622087
"Atchison County, Missouri"	"5,685"	10.39	0.198678	0.756151
"Athens County, Ohio"	"64,757"	128.59	0.556601	0.387101
"Atkinson County, Georgia"	"8,375"	24.68	0.267281	0.719278
"Atlantic County, New Jersey"	"274,549"	494.06	0.51516	0.452836
"Atoka County, Oklahoma"	"14,182"	14.54	0.158936	0.813275
"Attala County, Mississippi"	"19,564"	26.62	0.393123	0.592102
"Audrain County, Missouri"	"25,529"	36.88	0.255601	0.695111
"Audubon County, Iowa"	"6,119"	13.81	0.319325	0.631844
"Auglaize County, Ohio"	"45,949"	114.48	0.167323	0.793088
"Augusta County, Virginia"	"73,750"	76.27	0.221161	0.713347
"Aurora County, South Dakota"	"2,710"	3.83	0.241649	0.692253
"Austin County, Texas"	"28,417"	43.95	0.189229	0.786373
"Autauga County, Alabama"	"54,571"	91.8	0.239569	0.734358
"Avery County, North Carolina"	"17,797"	72.03	0.207196	0.772457
"Avoyelles Parish, Louisiana"	"42,073"	50.54	0.30348	0.67324
"Baca County, Colorado"	"3,788"	1.48	0.131941	0.814428
"Bacon County, Georgia"	"11,096"	42.91	0.151372	0.836908
"Bailey County, Texas"	"7,165"	8.67	0.222534	0.752803
"Baker County, Georgia"	"3,451"	10.09	0.451389	0.538194
"Baker County, Oregon"	"16,134"	5.26	0.210048	0.726501
"Baker County, Florida"	"27,115"	46.33	0.167168	0.814785
"Baldwin County, Alabama"	"182,265"	114.65	0.195653	0.773515
"Baldwin County, Georgia"	"45,720"	177.32	0.49549	0.478445
"Ballard County, Kentucky"	"8,249"	33.44	0.19917	0.77154
"Baltimore city, Maryland"	"620,961"	"7,671.52"	0.854445	0.108747
"Baltimore County, Maryland"	"805,029"	"1,345.52"	0.565455	0.391052
"Bamberg County, South Carolina"	"15,987"	40.64	0.62728	0.354641
"Bandera County, Texas"	"20,485"	25.9	0.169	0.798884
"Banks County, Georgia"	"18,395"	79.26	0.098474	0.882522
"Banner County, Nebraska"	690	0.92	0.046154	0.910256
"Bannock County, Idaho"	"82,839"	74.5	0.309594	0.514294
"Baraga County, Michigan"	"8,860"	9.86	0.331612	0.619048
"Barber County, Kansas"	"4,861"	4.29	0.127207	0.824808
"Barbour County, West Virginia"	"16,589"	48.64	0.201361	0.748506
"Barbour County, Alabama"	"27,457"	31.03	0.466603	0.522714
"Barnes County, North Dakota"	"11,066"	7.42	0.304017	0.6008
"Barnstable County, Massachusetts"	"215,888"	548.32	0.539938	0.405843
"Barnwell County, South Carolina"	"22,621"	41.25	0.463657	0.515666
"Barren County, Kentucky"	"42,173"	86.5	0.231419	0.729876
"Barron County, Wisconsin"	"45,870"	53.17	0.350049	0.603846
"Barrow County, Georgia"	"69,367"	432.71	0.22825	0.732101
"Barry County, Missouri"	"35,597"	45.74	0.185566	0.782457
"Barry County, Michigan"	"59,173"	106.99	0.300975	0.634297
"Bartholomew County, Indiana"	"76,794"	188.73	0.303838	0.637161
"Barton County, Missouri"	"12,402"	20.95	0.134019	0.835806
"Barton County, Kansas"	"27,674"	30.91	0.18071	0.769826
"Bartow County, Georgia"	"100,157"	217.95	0.20895	0.760996
"Bastrop County, Texas"	"74,171"	83.51	0.373628	0.577487
"Bates County, Missouri"	"17,049"	20.38	0.201596	0.748036
"Bath County, Kentucky"	"11,591"	41.58	0.297356	0.673367
"Bath County, Virginia"	"4,731"	8.94	0.268836	0.690147
"Baxter County, Arkansas"	"41,513"	74.89	0.212702	0.748774
"Bay County, Florida"	"168,852"	222.63	0.248867	0.711524
"Bay County, Michigan"	"107,771"	243.66	0.408845	0.535158
"Bayfield County, Wisconsin"	"15,014"	10.16	0.521863	0.434622
"Baylor County, Texas"	"3,726"	4.3	0.128016	0.849196
"Beadle County, South Dakota"	"17,398"	13.82	0.282339	0.657856
"Bear Lake County, Idaho"	"5,986"	6.14	0.08709	0.752391
"Beaufort County, South Carolina"	"162,233"	281.52	0.406445	0.549485
"Beaufort County, North Carolina"	"47,759"	57.74	0.368617	0.613501
"Beauregard Parish, Louisiana"	"35,654"	30.81	0.158708	0.811646
"Beaver County, Oklahoma"	"5,636"	3.11	0.078677	0.888243
"Beaver County, Utah"	"6,629"	2.56	0.106024	0.738153
"Beaver County, Pennsylvania"	"170,539"	392.3	0.382421	0.583038
"Beaverhead County, Montana"	"9,246"	1.67	0.238452	0.693541
"Becker County, Minnesota"	"32,504"	24.71	0.30474	0.63663
"Beckham County, Oklahoma"	"22,119"	24.53	0.127241	0.835038
"Bedford County, Virginia"	"68,676"	91.2	0.230716	0.724838
"Bedford County, Pennsylvania"	"49,762"	49.16	0.153719	0.827731
"Bedford County, Tennessee"	"45,058"	95.13	0.221176	0.748693
"Bee County, Texas"	"31,861"	36.2	0.40707	0.560771
"Belknap County, New Hampshire"	"60,088"	150.13	0.392229	0.560472
"Bell County, Kentucky"	"28,691"	79.92	0.177064	0.799259
"Bell County, Texas"	"310,235"	295.18	0.400089	0.550857
"Belmont County, Ohio"	"70,400"	132.3	0.283328	0.678816
"Beltrami County, Minnesota"	"44,442"	17.74	0.407581	0.505864
"Ben Hill County, Georgia"	"17,634"	70.5	0.354212	0.630424
"Benewah County, Idaho"	"9,285"	11.96	0.186069	0.739742
"Bennett County, South Dakota"	"3,431"	2.9	0.358573	0.579634
"Bennington County, Vermont"	"37,125"	55	0.583604	0.362496
"Benson County, North Dakota"	"6,660"	4.8	0.434021	0.477835
"Bent County, Colorado"	"6,499"	4.3	0.307082	0.616279
"Benton County, Oregon"	"85,579"	126.61	0.623801	0.28589
"Benton County, Minnesota"	"38,451"	94.17	0.283261	0.646477
"Benton County, Iowa"	"26,076"	36.41	0.341271	0.600877
"Benton County, Indiana"	"8,854"	21.79	0.235359	0.705802
"Benton County, Mississippi"	"8,729"	21.47	0.428679	0.560561
"Benton County, Arkansas"	"221,339"	261.21	0.29592	0.644491
"Benton County, Missouri"	"19,056"	27.07	0.211185	0.752504
"Benton County, Washington"	"175,177"	103.02	0.327317	0.592846
"Benton County, Tennessee"	"16,489"	41.84	0.233154	0.745808
"Benzie County, Michigan"	"17,525"	54.82	0.401918	0.541923
"Bergen County, New Jersey"	"905,116"	"3,884.47"	0.544974	0.425091
"Berkeley County, West Virginia"	"104,169"	324.37	0.287281	0.659574
"Berkeley County, South Carolina"	"177,843"	161.84	0.386371	0.560359
"Berks County, Pennsylvania"	"411,442"	480.37	0.427257	0.529142
"Berkshire County, Massachusetts"	"131,219"	141.58	0.674966	0.260421
"Bernalillo County, New Mexico"	"662,564"	570.77	0.526049	0.347861
"Berrien County, Georgia"	"19,286"	42.68	0.158616	0.824013
"Berrien County, Michigan"	"156,813"	276.2	0.410339	0.537631
"Bertie County, North Carolina"	"21,282"	30.43	0.622281	0.370576
"Bexar County, Texas"	"1,714,773"	"1,383.08"	0.544659	0.409804
"Bibb County, Alabama"	"22,915"	36.81	0.21422	0.769662
"Bibb County, Georgia"	"155,547"	622.78	0.589487	0.387282
"Bienville Parish, Louisiana"	"14,353"	17.69	0.446681	0.536188
"Big Horn County, Montana"	"12,865"	2.58	0.496866	0.4419
"Big Horn County, Wyoming"	"11,668"	3.72	0.116952	0.800748
"Big Stone County, Minnesota"	"5,269"	10.56	0.337486	0.58886
"Billings County, North Dakota"	783	0.68	0.097973	0.831081
"Bingham County, Idaho"	"45,607"	21.78	0.17588	0.65606
"Black Hawk County, Iowa"	"131,090"	231.7	0.506256	0.433116
"Blackford County, Indiana"	"12,766"	77.33	0.257777	0.694525
"Bladen County, North Carolina"	"35,190"	40.25	0.445976	0.540621
"Blaine County, Idaho"	"21,376"	8.09	0.59834	0.31148
"Blaine County, Nebraska"	478	0.67	0.095847	0.872204
"Blaine County, Montana"	"6,491"	1.54	0.452881	0.480351
"Blaine County, Oklahoma"	"11,943"	12.86	0.187451	0.760348
"Blair County, Pennsylvania"	"127,089"	241.71	0.251648	0.715447
"Blanco County, Texas"	"10,497"	14.8	0.219439	0.742988
"Bland County, Virginia"	"6,824"	19.08	0.145006	0.823303
"Bleckley County, Georgia"	"13,063"	60.51	0.221727	0.753344
"Bledsoe County, Tennessee"	"12,876"	31.68	0.192688	0.77871
"Blount County, Alabama"	"57,322"	88.9	0.084699	0.898519
"Blount County, Tennessee"	"123,010"	220.17	0.233081	0.721036
"Blue Earth County, Minnesota"	"64,013"	85.6	0.433847	0.471103
"Boise County, Idaho"	"7,028"	3.7	0.20383	0.701207
"Bolivar County, Mississippi"	"34,145"	38.95	0.655444	0.331307
"Bollinger County, Missouri"	"12,363"	20.01	0.124361	0.851473
"Bon Homme County, South Dakota"	"7,070"	12.54	0.236718	0.707801
"Bond County, Illinois"	"17,768"	46.72	0.276869	0.654516
"Bonner County, Idaho"	"40,877"	23.57	0.305679	0.607791
"Bonneville County, Idaho"	"104,234"	55.86	0.201981	0.603886
"Boone County, Kentucky"	"118,811"	482.27	0.261095	0.679096
"Boone County, Missouri"	"162,642"	237.29	0.49299	0.433863
"Boone County, Nebraska"	"5,505"	8.02	0.144402	0.801884
"Boone County, Indiana"	"56,640"	133.93	0.317551	0.613019
"Boone County, West Virginia"	"24,629"	49.11	0.206032	0.749133
"Boone County, Arkansas"	"36,903"	62.52	0.183824	0.768288
"Boone County, Iowa"	"26,306"	46.02	0.394522	0.533324
"Boone County, Illinois"	"54,165"	192.95	0.396036	0.542426
"Borden County, Texas"	641	0.71	0.084932	0.90411
"Bosque County, Texas"	"18,212"	18.53	0.163781	0.811209
"Bossier Parish, Louisiana"	"116,979"	139.25	0.253683	0.71161
"Botetourt County, Virginia"	"33,148"	61.25	0.240974	0.717183
"Bottineau County, North Dakota"	"6,429"	3.85	0.213558	0.722141
"Boulder County, Colorado"	"294,567"	405.58	0.705661	0.219345
"Boundary County, Idaho"	"10,972"	8.65	0.181165	0.735728
"Bourbon County, Kansas"	"15,173"	23.88	0.220683	0.728962
"Bourbon County, Kentucky"	"19,985"	68.98	0.317484	0.633489
"Bowie County, Texas"	"92,565"	104.59	0.256194	0.722744
"Bowman County, North Dakota"	"3,151"	2.71	0.128321	0.816846
"Box Butte County, Nebraska"	"11,308"	10.52	0.200168	0.745642
"Box Elder County, Utah"	"49,975"	8.7	0.10962	0.623882
"Boyd County, Kentucky"	"49,542"	309.9	0.294526	0.664824
"Boyd County, Nebraska"	"2,099"	3.89	0.112084	0.856392
"Boyle County, Kentucky"	"28,432"	157.81	0.331142	0.621906
"Bracken County, Kentucky"	"8,488"	41.28	0.20017	0.769733
"Bradford County, Florida"	"28,520"	97.02	0.241693	0.736733
"Bradford County, Pennsylvania"	"62,622"	54.58	0.246585	0.706996
"Bradley County, Tennessee"	"98,963"	301.02	0.184153	0.775188
"Bradley County, Arkansas"	"11,508"	17.73	0.364114	0.598009
"Branch County, Michigan"	"45,248"	89.36	0.287447	0.668587
"Brantley County, Georgia"	"18,411"	41.62	0.098488	0.884805
"Braxton County, West Virginia"	"14,523"	28.43	0.259727	0.69445
"Brazoria County, Texas"	"313,166"	230.66	0.358075	0.603952
"Brazos County, Texas"	"194,851"	332.83	0.348916	0.585469
"Breathitt County, Kentucky"	"13,878"	28.18	0.268331	0.696753
"Breckinridge County, Kentucky"	"20,059"	35.37	0.223617	0.73976
"Bremer County, Iowa"	"24,276"	55.75	0.400674	0.539251
"Brevard County, Florida"	"543,376"	535	0.380245	0.577788
"Brewster County, Texas"	"9,232"	1.49	0.442262	0.490535
"Briscoe County, Texas"	"1,637"	1.82	0.123978	0.851499
"Bristol city, Virginia"	"17,835"	"1,370.55"	0.262992	0.70112
"Bristol County, Rhode Island"	"49,875"	"2,064.01"	0.588555	0.36086
"Bristol County, Massachusetts"	"548,285"	991.3	0.518633	0.425797
"Broadwater County, Montana"	"5,612"	4.71	0.182758	0.752018
"Bronx County, New York"	"1,385,108"	"32,903.32"	0.88727	0.095927
"Brooke County, West Virginia"	"24,069"	269.82	0.267191	0.689099
"Brookings County, South Dakota"	"31,965"	40.35	0.384779	0.532177
"Brooks County, Texas"	"7,223"	7.66	0.746148	0.236133
"Brooks County, Georgia"	"16,243"	32.94	0.399489	0.58695
"Broome County, New York"	"200,600"	284.23	0.45343	0.490323
"Broomfield County, Colorado"	"55,889"	"1,691.87"	0.523004	0.382197
"Broward County, Florida"	"1,748,066"	"1,444.94"	0.66472	0.314183
"Brown County, Wisconsin"	"248,007"	468.2	0.418504	0.527008
"Brown County, Minnesota"	"25,893"	42.37	0.275415	0.637342
"Brown County, Nebraska"	"3,145"	2.58	0.096897	0.873971
"Brown County, Kansas"	"9,984"	17.49	0.214646	0.722475
"Brown County, Indiana"	"15,242"	48.86	0.318412	0.634168
"Brown County, Texas"	"38,106"	40.35	0.116209	0.860994
"Brown County, Ohio"	"44,846"	91.52	0.223105	0.744919
"Brown County, South Dakota"	"36,531"	21.33	0.33836	0.596599
"Brown County, Illinois"	"6,937"	22.7	0.203339	0.760274
"Brule County, South Dakota"	"5,255"	6.43	0.249563	0.684003
"Brunswick County, North Carolina"	"107,431"	126.84	0.343722	0.631031
"Brunswick County, Virginia"	"17,434"	30.79	0.585088	0.3983
"Bryan County, Georgia"	"30,233"	69.35	0.266215	0.697935
"Bryan County, Oklahoma"	"42,416"	46.9	0.202759	0.758548
"Buchanan County, Missouri"	"89,201"	218.62	0.337711	0.599359
"Buchanan County, Iowa"	"20,958"	36.7	0.39124	0.542961
"Buchanan County, Virginia"	"24,098"	47.93	0.186659	0.790889
"Buckingham County, Virginia"	"17,146"	29.58	0.429434	0.544893
"Bucks County, Pennsylvania"	"625,249"	"1,034.65"	0.484164	0.478361
"Buena Vista city, Virginia"	"6,650"	992	0.289353	0.597912
"Buena Vista County, Iowa"	"20,260"	35.24	0.348576	0.598484
"Buffalo County, Wisconsin"	"13,587"	20.23	0.365699	0.585031
"Buffalo County, Nebraska"	"46,102"	47.62	0.229037	0.7044
"Buffalo County, South Dakota"	"1,912"	4.06	0.604082	0.34898
"Bullitt County, Kentucky"	"74,319"	250.21	0.229076	0.727328
"Bulloch County, Georgia"	"70,217"	104.36	0.364871	0.599395
"Bullock County, Alabama"	"10,914"	17.52	0.750904	0.242289
"Buncombe County, North Carolina"	"238,318"	362.92	0.557123	0.411421
"Bureau County, Illinois"	"34,978"	40.25	0.368644	0.568239
"Burke County, North Carolina"	"90,912"	179.28	0.290398	0.68391
"Burke County, North Dakota"	"1,968"	1.78	0.114452	0.85257
"Burke County, Georgia"	"23,316"	28.19	0.505882	0.480321
"Burleigh County, North Dakota"	"81,308"	49.8	0.231792	0.693327
"Burleson County, Texas"	"17,187"	26.08	0.214687	0.765443
"Burlington County, New Jersey"	"448,734"	561.92	0.555732	0.407917
"Burnet County, Texas"	"42,750"	43	0.198729	0.766303
"Burnett County, Wisconsin"	"15,457"	18.81	0.338112	0.620713
"Burt County, Nebraska"	"6,858"	13.95	0.263412	0.669884
"Butler County, Kentucky"	"12,690"	29.78	0.169865	0.79426
"Butler County, Iowa"	"14,867"	25.63	0.290063	0.659515
"Butler County, Ohio"	"368,130"	788.19	0.336654	0.620115
"Butler County, Alabama"	"20,947"	26.96	0.427864	0.563155
"Butler County, Missouri"	"42,794"	61.6	0.176184	0.791957
"Butler County, Nebraska"	"8,395"	14.35	0.17629	0.783853
"Butler County, Kansas"	"65,880"	46.07	0.23988	0.694281
"Butler County, Pennsylvania"	"183,862"	233.15	0.291588	0.667065
"Butte County, South Dakota"	"10,110"	4.49	0.159457	0.771974
"Butte County, California"	"220,000"	134.44	0.440265	0.480301
"Butte County, Idaho"	"2,891"	1.3	0.130081	0.743089
"Butts County, Georgia"	"23,655"	128.29	0.270761	0.708769
"Cabarrus County, North Carolina"	"178,011"	492.08	0.385134	0.584866
"Cabell County, West Virginia"	"96,319"	342.75	0.345739	0.600838
"Cache County, Utah"	"112,656"	96.72	0.186878	0.463865
"Caddo County, Oklahoma"	"29,600"	23.16	0.258997	0.693338
"Caddo Parish, Louisiana"	"254,969"	290.22	0.505481	0.463196
"Calaveras County, California"	"45,578"	44.68	0.346467	0.585296
"Calcasieu Parish, Louisiana"	"192,768"	181.23	0.31386	0.646772
"Caldwell County, North Carolina"	"83,029"	176.07	0.235069	0.741293
"Caldwell County, Missouri"	"9,424"	22.1	0.194245	0.749826
"Caldwell County, Kentucky"	"12,984"	37.66	0.210985	0.754689
"Caldwell County, Texas"	"38,066"	69.81	0.398241	0.556495
"Caldwell Parish, Louisiana"	"10,132"	19.14	0.167945	0.814578
"Caledonia County, Vermont"	"31,227"	48.13	0.497069	0.426731
"Calhoun County, South Carolina"	"15,175"	39.81	0.472527	0.501125
"Calhoun County, Alabama"	"118,572"	195.71	0.278559	0.692397
"Calhoun County, Mississippi"	"14,962"	25.51	0.297208	0.687806
"Calhoun County, Arkansas"	"5,368"	8.54	0.282667	0.690667
"Calhoun County, Illinois"	"5,089"	20.05	0.289124	0.672535
"Calhoun County, Iowa"	"9,670"	16.97	0.273457	0.678942
"Calhoun County, Texas"	"21,381"	42.18	0.304442	0.666667
"Calhoun County, Georgia"	"6,694"	23.88	0.582304	0.409787
"Calhoun County, Michigan"	"136,146"	192.78	0.41088	0.535655
"Calhoun County, Florida"	"14,625"	25.78	0.203725	0.765947
"Calhoun County, West Virginia"	"7,627"	27.31	0.175115	0.776882
"Callahan County, Texas"	"13,544"	15.06	0.102232	0.87437
"Callaway County, Missouri"	"44,332"	53.12	0.260783	0.682386
"Calloway County, Kentucky"	"37,191"	96.59	0.296091	0.646362
"Calumet County, Wisconsin"	"48,971"	153.88	0.364524	0.580612
"Calvert County, Maryland"	"88,737"	416.31	0.383681	0.568075
"Camas County, Idaho"	"1,117"	1.04	0.183639	0.684474
"Cambria County, Pennsylvania"	"143,679"	208.73	0.29581	0.673293
"Camden County, Georgia"	"50,513"	82.4	0.314157	0.652696
"Camden County, North Carolina"	"9,980"	41.49	0.256327	0.714112
"Camden County, Missouri"	"44,002"	67.08	0.212154	0.753809
"Camden County, New Jersey"	"513,657"	"2,321.48"	0.645876	0.322178
"Cameron County, Pennsylvania"	"5,085"	12.83	0.231719	0.738636
"Cameron County, Texas"	"406,220"	455.95	0.646148	0.320596
"Cameron Parish, Louisiana"	"6,839"	5.32	0.087486	0.881907
"Camp County, Texas"	"12,401"	63.33	0.277411	0.704756
"Campbell County, Kentucky"	"90,336"	597.03	0.34513	0.589814
"Campbell County, Tennessee"	"40,716"	84.79	0.179782	0.788548
"Campbell County, Virginia"	"54,842"	108.84	0.242376	0.714307
"Campbell County, South Dakota"	"1,466"	2	0.126354	0.847172
"Campbell County, Wyoming"	"46,133"	9.61	0.073822	0.879732
"Canadian County, Oklahoma"	"115,541"	128.86	0.211149	0.723421
"Candler County, Georgia"	"10,998"	45.25	0.272292	0.708278
"Cannon County, Tennessee"	"13,801"	51.95	0.212493	0.755992
"Canyon County, Idaho"	"188,923"	321.64	0.231686	0.649312
"Cape Girardeau County, Missouri"	"75,674"	130.8	0.229641	0.730549
"Cape May County, New Jersey"	"97,265"	386.86	0.385034	0.583711
"Carbon County, Pennsylvania"	"65,249"	171.05	0.31047	0.651579
"Carbon County, Montana"	"10,078"	4.92	0.307952	0.62958
"Carbon County, Wyoming"	"15,885"	2.01	0.20629	0.711129
"Carbon County, Utah"	"21,403"	14.48	0.216935	0.662829
"Caribou County, Idaho"	"6,963"	3.95	0.089292	0.749588
"Carlisle County, Kentucky"	"5,104"	26.94	0.166218	0.805694
"Carlton County, Minnesota"	"35,386"	41.08	0.468464	0.451852
"Caroline County, Virginia"	"28,545"	54.11	0.452816	0.503418
"Caroline County, Maryland"	"33,066"	103.52	0.282111	0.677534
"Carroll County, New Hampshire"	"47,818"	51.36	0.446857	0.503561
"Carroll County, Ohio"	"28,836"	73.07	0.243929	0.707972
"Carroll County, Indiana"	"20,155"	54.15	0.219654	0.728656
"Carroll County, Illinois"	"15,387"	34.59	0.331384	0.602121
"Carroll County, Mississippi"	"10,597"	16.87	0.30128	0.689945
"Carroll County, Missouri"	"9,295"	13.38	0.170832	0.797982
"Carroll County, Iowa"	"20,816"	36.56	0.316723	0.635074
"Carroll County, Kentucky"	"10,811"	84.09	0.287198	0.672033
"Carroll County, Tennessee"	"28,522"	47.6	0.224814	0.748185
"Carroll County, Arkansas"	"27,446"	43.56	0.312875	0.635604
"Carroll County, Maryland"	"167,134"	373.4	0.286455	0.654968
"Carroll County, Georgia"	"110,527"	221.46	0.28397	0.68542
"Carroll County, Virginia"	"30,042"	63.29	0.188195	0.784058
"Carson City, Nevada"	"55,274"	382.09	0.384154	0.524664
"Carson County, Texas"	"6,182"	6.72	0.08455	0.888625
"Carter County, Missouri"	"6,265"	12.35	0.153413	0.817382
"Carter County, Montana"	"1,160"	0.35	0.09009	0.8713
"Carter County, Kentucky"	"27,720"	67.69	0.221681	0.73897
"Carter County, Tennessee"	"57,424"	168.3	0.164483	0.804887
"Carter County, Oklahoma"	"47,557"	57.84	0.215939	0.741974
"Carteret County, North Carolina"	"66,469"	131.3	0.265608	0.71042
"Carver County, Minnesota"	"91,042"	256.94	0.390331	0.527331
"Cascade County, Montana"	"81,327"	30.14	0.356693	0.572431
"Casey County, Kentucky"	"15,955"	35.92	0.119136	0.851507
"Cass County, Iowa"	"13,956"	24.73	0.275833	0.67399
"Cass County, North Dakota"	"149,778"	84.86	0.397059	0.504245
"Cass County, Michigan"	"52,293"	106.71	0.312393	0.611937
"Cass County, Illinois"	"13,642"	36.3	0.319945	0.636328
"Cass County, Minnesota"	"28,567"	14.13	0.311552	0.628392
